name,price,description,image_url,category,length,width,height,sku,colors,materials,handle,productUrl,customizationEnabled,widthMin,widthMax,widthDefault,lengthMin,lengthMax,lengthDefault,heightMin,heightMax,heightDefault,colorPricing,materialPricing,dimensionPricePerInch,widthPricePerInch,lengthPricePerInch,heightPricePerInch,addons
Modular Haven Sectional,2499,"Configurable sectional sofa with deep seating for hospitality lounges and family rooms.",/images/demo-products/modular-haven-sectional.png,Sofas,118,72,34,MOD-SOF-001,Ivory|Slate|Olive,Linen|Velvet|Performance Fabric,modular-haven-sectional,https://demo.modlyai.tech/products/modular-haven-sectional,true,96,132,118,60,84,72,30,38,34,Ivory:0|Slate:50|Olive:75,Linen:0|Velvet:120|Performance Fabric:180,15,20,18,12,Ottoman:350|Throw Pillows:60|Storage Chaise:420
Marble Coffee Table,349,"Round marble coffee table with polished stone styling and a tempered glass option.",/images/demo-products/marble-coffee-table.png,Tables,36,36,18,MOD-TBL-002,White|Black|Gold,Marble|Tempered Glass,marble-coffee-table,https://demo.modlyai.tech/products/marble-coffee-table,true,,,,,,,,,,White:0|Black:40|Gold:90,Marble:0|Tempered Glass:60,,,,,Protective Sealant:90
Harbor Linen Sofa,1599,"Tailored three-seat sofa with stain-resistant upholstery and compact proportions.",/images/demo-products/harbor-linen-sofa.png,Sofas,88,38,33,MOD-SOF-003,Sand|Navy|Charcoal,Linen|Performance Fabric,harbor-linen-sofa,https://demo.modlyai.tech/products/harbor-linen-sofa,true,,,,,,,,,,Sand:0|Navy:45|Charcoal:55,Linen:0|Performance Fabric:140,,,,,
Cloud Storage Bed,1899,"Platform bed with concealed drawer storage and a soft upholstered headboard.",/images/demo-products/cloud-storage-bed.png,Beds,84,66,48,MOD-BED-004,Mist|Oat|Graphite,Performance Fabric|Oak Veneer,cloud-storage-bed,https://demo.modlyai.tech/products/cloud-storage-bed,true,60,78,66,80,88,84,42,54,48,Mist:0|Oat:25|Graphite:40,Performance Fabric:0|Oak Veneer:220,10,,,16,Underbed Drawers:280|USB Nightstand Panels:120
Walnut Gathering Dining Set,3299,"Six-seat dining set with rounded walnut table and upholstered side chairs.",/images/demo-products/walnut-gathering-dining-set.png,Dining sets,96,42,30,MOD-DIN-005,Walnut|Black|Cream,Solid Wood|Boucle|Brass,walnut-gathering-dining-set,https://demo.modlyai.tech/products/walnut-gathering-dining-set,true,36,48,42,72,108,96,30,30,30,Walnut:0|Black:60|Cream:45,Solid Wood:0|Boucle:180|Brass:250,22,12,28,,Bench Seat:450|Extra Chairs:300
Atelier Media Console,1199,"Low media storage console with fluted doors and cable-management pass-throughs.",/images/demo-products/atelier-media-console.png,Storage,72,18,28,MOD-STO-006,Oak|Walnut|Matte Black,Solid Wood|MDF|Metal,atelier-media-console,https://demo.modlyai.tech/products/atelier-media-console,true,,,,,,,,,,Oak:0|Walnut:80|Matte Black:65,Solid Wood:180|MDF:0|Metal:120,,,,,
Executive Sit Stand Desk,1399,"Commercial-grade adjustable desk with integrated cable tray and modesty panel.",/images/demo-products/executive-sit-stand-desk.png,Office furniture,60,30,29,MOD-OFF-007,,,executive-sit-stand-desk,https://demo.modlyai.tech/products/executive-sit-stand-desk,true,48,72,60,24,36,30,28,48,29,,,18,12,15,20,
Curved Banquette Booth,2799,"Custom banquette seating for restaurants, cafes, and hospitality lounges.",/images/demo-products/curved-banquette-booth.png,Custom pieces,108,30,42,MOD-CUS-008,Rust|Forest Green|Ink,Commercial Vinyl|Performance Fabric|Walnut,curved-banquette-booth,https://demo.modlyai.tech/products/curved-banquette-booth,true,24,36,30,72,144,108,36,48,42,Rust:0|Forest Green:95|Ink:95,Commercial Vinyl:0|Performance Fabric:160|Walnut:300,24,18,32,14,Channel Tufting:240|Power Outlets:180|Contrast Piping:110
Nordic Platform Bed,1299,"Minimal bed frame with clean lines and warm wood construction.",/images/demo-products/nordic-platform-bed.png,Beds,82,64,38,MOD-BED-009,,,nordic-platform-bed,https://demo.modlyai.tech/products/nordic-platform-bed,false,,,,,,,,,,,,,,,,
Rattan Accent Cabinet,749,"Two-door accent storage cabinet with woven rattan panels and rounded pulls.",/images/demo-products/rattan-accent-cabinet.png,Storage,36,18,34,MOD-STO-010,Natural|Black,Rattan|Oak Veneer,rattan-accent-cabinet,https://demo.modlyai.tech/products/rattan-accent-cabinet,true,,,,,,,,,,Natural:0|Black:45,Rattan:0|Oak Veneer:90,,,,,
Conference Room Table,2599,"Long conference table designed for hybrid meeting rooms and collaborative offices.",/images/demo-products/conference-room-table.png,Office furniture,120,48,30,MOD-OFF-011,,,conference-room-table,https://demo.modlyai.tech/products/conference-room-table,true,42,54,48,96,144,120,30,30,30,,,30,18,36,,Power Grommets:220|Cable Tray:160
Pebble Nesting Tables,499,"Pair of compact nesting side tables with soft pebble-shaped tops.",/images/demo-products/pebble-nesting-tables.png,Tables,28,22,20,MOD-TBL-012,Sage|Cream|Terracotta,Engineered Wood|Powder Coated Steel,pebble-nesting-tables,https://demo.modlyai.tech/products/pebble-nesting-tables,true,,,,,,,,,,Sage:0|Cream:20|Terracotta:30,Engineered Wood:0|Powder Coated Steel:70,,,,,
Heritage Upholstered Dining Chair,349,"Durable dining chair with contract-grade upholstery and curved back support.",/images/demo-products/heritage-upholstered-dining-chair.png,Dining sets,24,22,34,MOD-DIN-013,Dove|Moss|Cognac,Velvet|Performance Fabric|Solid Wood,heritage-upholstered-dining-chair,https://demo.modlyai.tech/products/heritage-upholstered-dining-chair,true,,,,,,,,,,Dove:0|Moss:30|Cognac:65,Velvet:0|Performance Fabric:55|Solid Wood:85,,,,,Nailhead Trim:45|Protective Glides:25
Gallery Display Shelving,999,"Open display shelving for retail showrooms, studios, and living spaces.",/images/demo-products/gallery-display-shelving.png,Custom pieces,60,16,78,MOD-CUS-014,,,gallery-display-shelving,https://demo.modlyai.tech/products/gallery-display-shelving,false,,,,,,,,,,,,,,,,
